dados,envio_s,envio_us,chegada,envio,delay_ms,jitter_ms
1073420972,1616097079,474751,1616097079495,1616097079474,21,0
1073420972,1616097079,726751,1616097079747,1616097079726,21,0
1073420972,1616097079,978755,1616097079999,1616097079978,21,0
1073420972,1616097080,230751,1616097080251,1616097080230,21,0
1073420972,1616097080,482751,1616097080503,1616097080482,21,0
1073420972,1616097080,734751,1616097080756,1616097080734,22,1
1073420972,1616097080,986751,1616097081008,1616097080986,22,0
1073420972,1616097081,238751,1616097081258,1616097081238,20,2
1073420972,1616097081,490751,1616097081513,1616097081490,23,3
1073420972,1616097081,742751,1616097081763,1616097081742,21,2
1073420972,1616097081,994751,1616097082015,1616097081994,21,0
1073420972,1616097082,246751,1616097082265,1616097082246,19,2
1073420972,1616097082,498751,1616097082523,1616097082498,25,6
1073420972,1616097082,750751,1616097082772,1616097082750,22,3
1073420972,1616097083,2751,1616097083024,1616097083002,22,0
1073420972,1616097083,254751,1616097083274,1616097083254,20,2
1073420972,1616097083,506751,1616097083526,1616097083506,20,0
1073420972,1616097083,758751,1616097083779,1616097083758,21,1
1073420972,1616097084,10751,1616097084031,1616097084010,21,0
1073420972,1616097084,262751,1616097084282,1616097084262,20,1
1073420972,1616097084,514751,1616097084535,1616097084514,21,1
1073420972,1616097084,766751,1616097084790,1616097084766,24,3
1073420972,1616097085,18751,1616097085039,1616097085018,21,3
1073420972,1616097085,270751,1616097085291,1616097085270,21,0
1073420972,1616097085,522751,1616097085542,1616097085522,20,1
1073420972,1616097085,774751,1616097085796,1616097085774,22,2
1073420972,1616097086,26751,1616097086047,1616097086026,21,1
1073420972,1616097086,278751,1616097086304,1616097086278,26,5
1073420972,1616097086,530751,1616097086552,1616097086530,22,4
1073420972,1616097086,783751,1616097086804,1616097086783,21,1
1073420972,1616097087,35751,1616097087056,1616097087035,21,0
1073420972,1616097087,287751,1616097087307,1616097087287,20,1
1073420972,1616097087,539751,1616097087560,1616097087539,21,1
1073420972,1616097087,791751,1616097087814,1616097087791,23,2
1073420972,1616097088,43751,1616097088063,1616097088043,20,3
1073420972,1616097088,295751,1616097088316,1616097088295,21,1
1073420972,1616097088,547751,1616097088578,1616097088547,31,10
1073420972,1616097088,799751,1616097088820,1616097088799,21,10
1073420972,1616097089,51751,1616097089069,1616097089051,18,3
1073420972,1616097089,303751,1616097089323,1616097089303,20,2
1073420972,1616097089,555751,1616097089575,1616097089555,20,0
1073420972,1616097089,807751,1616097089827,1616097089807,20,0
1073420972,1616097090,60751,1616097090080,1616097090060,20,0
1073420972,1616097090,312751,1616097090332,1616097090312,20,0
1073420972,1616097090,564751,1616097090584,1616097090564,20,0
1073420972,1616097090,816751,1616097090837,1616097090816,21,1
1073420972,1616097091,68751,1616097091088,1616097091068,20,1
1073420972,1616097091,320751,1616097091341,1616097091320,21,1
1073420972,1616097091,572751,1616097091596,1616097091572,24,3
1073420972,1616097091,824751,1616097091849,1616097091824,25,1
1073420972,1616097092,76751,1616097092096,1616097092076,20,5
1073420972,1616097092,328751,1616097092349,1616097092328,21,1
1073420972,1616097092,580751,1616097092601,1616097092580,21,0
1073420972,1616097092,832751,1616097092854,1616097092832,22,1
1073420972,1616097093,84751,1616097093104,1616097093084,20,2
1073420972,1616097093,337751,1616097093357,1616097093337,20,0
1073420972,1616097093,589751,1616097093616,1616097093589,27,7
1073420972,1616097093,841751,1616097093862,1616097093841,21,6
1073420972,1616097094,93751,1616097094114,1616097094093,21,0
1073420972,1616097094,345751,1616097094366,1616097094345,21,0
1073420972,1616097094,597751,1616097094617,1616097094597,20,1
1073420972,1616097094,849751,1616097094869,1616097094849,20,0
1073420972,1616097095,101751,1616097095122,1616097095101,21,1
1073420972,1616097095,353751,1616097095374,1616097095353,21,0
1073420972,1616097095,605751,1616097095625,1616097095605,20,1
1073420972,1616097095,857751,1616097095877,1616097095857,20,0
1073420972,1616097096,109751,1616097096130,1616097096109,21,1
1073420972,1616097096,361751,1616097096381,1616097096361,20,1
1073420972,1616097096,613751,1616097096633,1616097096613,20,0
1073420972,1616097096,865751,1616097096889,1616097096865,24,4
1073420972,1616097097,117751,1616097097137,1616097097117,20,4
1073420972,1616097097,369751,1616097097390,1616097097369,21,1
1073420972,1616097097,621751,1616097097647,1616097097621,26,5
1073420972,1616097097,873751,1616097097894,1616097097873,21,5
1073420972,1616097098,125751,1616097098146,1616097098125,21,0
1073420972,1616097098,377751,1616097098401,1616097098377,24,3
1073420972,1616097098,629751,1616097098649,1616097098629,20,4
1073420972,1616097098,881751,1616097098902,1616097098881,21,1
1073420972,1616097099,133757,1616097099163,1616097099133,30,9
1073420972,1616097099,386751,1616097099406,1616097099386,20,10
1073420972,1616097099,638751,1616097099656,1616097099638,18,2
1073420972,1616097099,890751,1616097099909,1616097099890,19,1
1073420972,1616097100,142751,1616097100162,1616097100142,20,1
1073420972,1616097100,394751,1616097100414,1616097100394,20,0
1073420972,1616097100,646751,1616097100666,1616097100646,20,0
1073420972,1616097100,898751,1616097100918,1616097100898,20,0
1073420972,1616097101,150751,1616097101170,1616097101150,20,0
1073420972,1616097101,402751,1616097101422,1616097101402,20,0
1073420972,1616097101,654751,1616097101674,1616097101654,20,0
1073420972,1616097101,906751,1616097101926,1616097101906,20,0
1073420972,1616097102,158751,1616097102179,1616097102158,21,1
1073420972,1616097102,410755,1616097102430,1616097102410,20,1
1073420972,1616097102,662751,1616097102682,1616097102662,20,0
1073420972,1616097102,914751,1616097102936,1616097102914,22,2
1073420972,1616097103,167751,1616097103187,1616097103167,20,2
1073420972,1616097103,419751,1616097103436,1616097103419,17,3
1073420972,1616097103,671751,1616097103690,1616097103671,19,2
1073420972,1616097103,923751,1616097103947,1616097103923,24,5
1073420972,1616097104,175751,1616097104194,1616097104175,19,5
1073420972,1616097104,427751,1616097104446,1616097104427,19,0
1073420972,1616097104,679751,1616097104697,1616097104679,18,1
1073420972,1616097104,931751,1616097104951,1616097104931,20,2
1073420972,1616097105,183751,1616097105206,1616097105183,23,3
1073420972,1616097105,435751,1616097105451,1616097105435,16,7
1073420972,1616097105,687751,1616097105705,1616097105687,18,2
1073420972,1616097105,939751,1616097105959,1616097105939,20,2
1073420972,1616097106,191751,1616097106210,1616097106191,19,1
1073420972,1616097106,444751,1616097106466,1616097106444,22,3
1073420972,1616097106,696751,1616097106715,1616097106696,19,3
1073420972,1616097106,948751,1616097106967,1616097106948,19,0
1073420972,1616097107,200751,1616097107219,1616097107200,19,0
1073420972,1616097107,452751,1616097107471,1616097107452,19,0
1073420972,1616097107,704751,1616097107723,1616097107704,19,0
1073420972,1616097107,955751,1616097107976,1616097107955,21,2
1073420972,1616097108,207751,1616097108227,1616097108207,20,1
