id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.2,95,0,0,0,1611091131,614810,1611091131614,1611091131773,159,0
1,30.1,95,0,0,0,1611091146,399810,1611091146399,1611091146534,135,24
2,30.2,95,0,0,0,1611091161,184809,1611091161184,1611091161265,81,54
3,30.2,94,0,0,0,1611091175,968809,1611091175968,1611091176112,144,63
4,30.2,94,0,0,0,1611091190,753809,1611091190753,1611091190856,103,41
5,30.2,94,0,0,0,1611091205,538808,1611091205538,1611091205705,167,64
6,30.2,94,0,0,0,1611091220,324808,1611091220324,1611091220451,127,40
7,30.3,95,0,0,0,1611091235,109808,1611091235109,1611091235195,86,41
8,30.2,95,0,0,0,1611091249,894808,1611091249894,1611091250043,149,63
9,30.2,95,0,0,0,1611091264,679807,1611091264679,1611091264788,109,40
10,30.3,95,0,0,0,1611091279,464807,1611091279464,1611091279636,172,63
11,30.2,95,0,0,0,1611091294,250807,1611091294250,1611091294381,131,41
12,30.2,95,0,0,0,1611091309,34806,1611091309034,1611091309127,93,38
13,30.2,95,0,0,0,1611091323,819806,1611091323819,1611091323975,156,63
14,30.3,95,0,0,0,1611091338,604806,1611091338604,1611091338720,116,40
