id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,28.5,95,0,12.89,0,1611155116,902391,1611155116902,1611155117033,131,0
1,28.6,95,0,12.82,0,1611155131,442391,1611155131442,1611155131504,62,69
2,28.5,95,0,12.89,0,1611155145,981391,1611155145981,1611155146114,133,71
3,28.6,95,0,13.43,0,1611155160,521390,1611155160521,1611155160655,134,1
4,28.6,95,0,12.87,0,1611155175,59390,1611155175059,1611155175194,135,1
5,28.6,95,0,12.97,0,1611155189,598389,1611155189598,1611155189736,138,3
6,28.6,95,0,13.16,0,1611155204,138388,1611155204138,1611155204308,170,32
7,28.6,95,0,13.02,0,1611155218,677388,1611155218677,1611155218817,140,30
8,28.5,95,0,13.19,0,1611155233,217388,1611155233217,1611155233359,142,2
9,28.4,95,0,13.38,0,1611155247,755388,1611155247755,1611155247899,144,2
10,28.6,95,0,12.89,0,1611155262,294387,1611155262294,1611155262440,146,2
11,28.5,95,0,12.89,0,1611155276,834387,1611155276834,1611155276975,141,5
12,28.6,95,0,13.46,0,1611155291,373387,1611155291373,1611155291429,56,85
13,28.6,95,0,12.92,0,1611155305,913386,1611155305913,1611155306061,148,92
14,28.7,95,0,13.68,0,1611155320,451386,1611155320451,1611155320601,150,2
