exp0/qos0_64b0ms_1.csv: 50236/50236, 0.89 ms
exp0/qos0_64b0ms_2.csv: 50004/50004, 0.93 ms
exp0/qos0_64b0ms_3.csv: 49996/49996, 0.92 ms
exp0/qos0_64b20ms_1.csv: 2944/2944, 2.20 ms
exp0/qos0_64b20ms_2.csv: 2944/2944, 2.03 ms
exp0/qos0_64b20ms_3.csv: 2944/2944, 1.97 ms
exp0/qos0_64b40ms_1.csv: 1486/1486, 2.22 ms
exp0/qos0_64b40ms_2.csv: 1487/1487, 2.07 ms
exp0/qos0_64b40ms_3.csv: 1486/1486, 2.18 ms
exp0/qos0_64b60ms_1.csv: 993/993, 2.49 ms
exp0/qos0_64b60ms_2.csv: 993/993, 2.51 ms
exp0/qos0_64b60ms_3.csv: 993/993, 2.48 ms
exp0/qos0_64b80ms_1.csv: 747/747, 2.45 ms
exp0/qos0_64b80ms_2.csv: 747/747, 2.48 ms
exp0/qos0_64b80ms_3.csv: 747/747, 2.48 ms
exp0/qos0_64b100ms_1.csv: 598/598, 2.44 ms
exp0/qos0_64b100ms_2.csv: 598/598, 2.42 ms
exp0/qos0_64b100ms_3.csv: 598/598, 2.48 ms

exp0/qos1_64b0ms_1.csv: 53033/53033, 1.21 ms
exp0/qos1_64b0ms_2.csv: 52942/52942, 1.20 ms
exp0/qos1_64b0ms_3.csv: 53087/53087, 1.21 ms
exp0/qos1_64b20ms_1.csv: 2954/2954, 2.60 ms
exp0/qos1_64b20ms_2.csv: 2952/2952, 2.37 ms
exp0/qos1_64b20ms_3.csv: 2954/2954, 2.40 ms
exp0/qos1_64b40ms_1.csv: 1488/1488, 2.56 ms
exp0/qos1_64b40ms_2.csv: 1489/1489, 2.51 ms
exp0/qos1_64b40ms_3.csv: 1489/1489, 2.50 ms
exp0/qos1_64b60ms_1.csv: 996/996, 2.65 ms
exp0/qos1_64b60ms_2.csv: 995/995, 2.65 ms
exp0/qos1_64b60ms_3.csv: 994/994, 2.91 ms
exp0/qos1_64b80ms_1.csv: 748/748, 3.28 ms
exp0/qos1_64b80ms_2.csv: 748/748, 3.18 ms
exp0/qos1_64b80ms_3.csv: 747/747, 3.05 ms
exp0/qos1_64b100ms_1.csv: 599/599, 2.85 ms
exp0/qos1_64b100ms_2.csv: 599/599, 2.86 ms
exp0/qos1_64b100ms_3.csv: 599/599, 2.78 ms

exp0/qos2_64b0ms_1.csv: 49564/49564, 0.93 ms
exp0/qos2_64b0ms_2.csv: 49817/49817, 0.88 ms
exp0/qos2_64b0ms_3.csv: 49830/49830, 0.88 ms
exp0/qos2_64b20ms_1.csv: 2932/2932, 2.27 ms
exp0/qos2_64b20ms_2.csv: 2931/2931, 2.25 ms
exp0/qos2_64b20ms_3.csv: 2931/2931, 2.22 ms
exp0/qos2_64b40ms_1.csv: 1483/1483, 2.39 ms
exp0/qos2_64b40ms_2.csv: 1483/1483, 2.47 ms
exp0/qos2_64b40ms_3.csv: 1482/1482, 2.41 ms
exp0/qos2_64b60ms_1.csv: 993/993, 3.08 ms
exp0/qos2_64b60ms_2.csv: 993/993, 2.98 ms
exp0/qos2_64b60ms_3.csv: 993/993, 2.83 ms
exp0/qos2_64b80ms_1.csv: 746/746, 2.67 ms
exp0/qos2_64b80ms_2.csv: 746/746, 2.61 ms
exp0/qos2_64b80ms_3.csv: 746/746, 2.58 ms
exp0/qos2_64b100ms_1.csv: 598/598, 2.65 ms
exp0/qos2_64b100ms_2.csv: 598/598, 2.60 ms
exp0/qos2_64b100ms_3.csv: 598/598, 2.58 ms
