id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,28.7,95,0,13.7241,0,1611155816,873464,1611155816873,1611155817050,177,0
1,28.7,95,0,13.6752,0,1611155834,912463,1611155834912,1611155835054,142,35
2,28.6,95,0,13.2112,0,1611155852,953463,1611155852953,1611155853074,121,21
3,28.7,95,0,12.8938,0,1611155870,992463,1611155870992,1611155871202,210,89
4,28.7,95,0,12.4542,0,1611155889,31462,1611155889031,1611155889224,193,17
5,28.7,95,0,12.381,0,1611155907,70462,1611155907070,1611155907244,174,19
6,28.7,95,0,12.21,0,1611155925,110461,1611155925110,1611155925268,158,16
7,28.7,95,0,12.8938,0,1611155943,149460,1611155943149,1611155943288,139,19
8,28.7,95,0,12.2833,0,1611155961,188460,1611155961188,1611155961280,92,47
9,28.7,95,0,12.3565,0,1611155979,227459,1611155979227,1611155979335,108,16
10,28.8,95,0,12.7717,0,1611155997,266459,1611155997266,1611155997459,193,85
11,28.8,95,0,12.2344,0,1611156015,305459,1611156015305,1611156015483,178,15
12,28.8,95,0,12.1856,0,1611156033,344458,1611156033344,1611156033506,162,16
13,28.7,95,0,12.0391,0,1611156051,383458,1611156051383,1611156051525,142,20
14,28.7,95,0,13.4554,0,1611156069,422458,1611156069422,1611156069547,125,17
