id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.4,90,0,2.637363,0,1611078677,747434,1611078677747,1611078677954,207,0
1,30.4,90,0,2.832723,0,1611078689,775436,1611078689775,1611078689972,197,10
2,30.5,90,0,2.954823,0,1611078701,802428,1611078701802,1611078702002,200,3
3,30.5,90,0,2.979243,0,1611078713,829434,1611078713829,1611078714027,198,2
4,30.5,90,0,2.490843,0,1611078725,856428,1611078725856,1611078726052,196,2
5,30.6,90,0,2.612943,0,1611078737,883434,1611078737883,1611078738079,196,0
6,30.5,90,0,2.686203,0,1611078749,910427,1611078749910,1611078750106,196,0
7,30.5,90,0,2.808303,0,1611078761,937433,1611078761937,1611078762132,195,1
8,30.5,90,0,2.637363,0,1611078773,964427,1611078773964,1611078774159,195,0
9,30.5,90,0,2.612943,0,1611078785,991433,1611078785991,1611078786186,195,0
10,30.6,90,0,2.808303,0,1611078798,18429,1611078798018,1611078798215,197,2
11,30.5,90,0,2.783883,0,1611078810,45432,1611078810045,1611078810240,195,2
12,30.6,90,0,2.905983,0,1611078822,72426,1611078822072,1611078822262,190,5
13,30.5,90,0,2.808303,0,1611078834,99432,1611078834099,1611078834292,193,3
14,30.5,89,0,2.783883,0,1611078846,126425,1611078846126,1611078846315,189,4
