id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.7,93,0,0,0,1611087597,722999,1611087597722,1611087597775,53,0
1,29.7,93,0,0,0,1611087611,753999,1611087611753,1611087611906,153,100
2,29.7,93,0,0,0,1611087625,784999,1611087625784,1611087625935,151,2
3,29.7,93,0,0,0,1611087639,815998,1611087639815,1611087639963,148,3
4,29.7,93,0,0,0,1611087653,846998,1611087653846,1611087653992,146,2
5,29.6,93,0,0,0,1611087667,877998,1611087667877,1611087667961,84,62
6,29.6,94,0,0,0,1611087681,909997,1611087681909,1611087682049,140,56
7,29.6,94,0,0,0,1611087695,940997,1611087695940,1611087696075,135,5
8,29.6,94,0,0,0,1611087709,971997,1611087709971,1611087710106,135,0
9,29.6,94,0,0,0,1611087724,3997,1611087724003,1611087724135,132,3
10,29.5,94,0,0,0,1611087738,34996,1611087738034,1611087738165,131,1
11,29.5,94,0,0,0,1611087752,65996,1611087752065,1611087752097,32,99
12,29.5,94,0,0,0,1611087766,96996,1611087766096,1611087766221,125,93
13,29.5,94,0,0,0,1611087780,127996,1611087780127,1611087780250,123,2
14,29.5,94,0,0,0,1611087794,158994,1611087794158,1611087794277,119,4
