exp2/qos2_184b40ms_1.csv: 1482/1482, 2.42 ms
exp2/qos2_184b40ms_2.csv: 1483/1483, 2.68 ms
exp2/qos2_184b40ms_3.csv: 1482/1482, 2.76 ms
exp2/qos2_184b60ms_1.csv: 992/992, 2.67 ms
exp2/qos2_184b60ms_2.csv: 992/992, 2.61 ms
exp2/qos2_184b60ms_3.csv: 992/992, 2.63 ms
exp2/qos2_184b80ms_1.csv: 746/746, 2.68 ms
exp2/qos2_184b80ms_2.csv: 746/746, 2.68 ms
exp2/qos2_184b80ms_3.csv: 746/746, 2.65 ms
exp2/qos2_184b100ms_1.csv: 598/598, 2.63 ms
exp2/qos2_184b100ms_2.csv: 598/598, 2.67 ms
exp2/qos2_184b100ms_3.csv: 598/598, 2.65 ms

exp2/qos0_112b0ms_1.csv: 50336/50336, 0.90 ms
exp2/qos0_112b0ms_2.csv: 50392/50392, 0.89 ms
exp2/qos0_112b0ms_3.csv: 50606/50606, 0.88 ms
exp2/qos0_112b10ms_1.csv: 5745/5745, 2.02 ms
exp2/qos0_112b10ms_2.csv: 5754/5754, 2.00 ms
exp2/qos0_112b10ms_3.csv: 5754/5754, 2.01 ms
exp2/qos0_112b20ms_1.csv: 2937/2937, 2.43 ms
exp2/qos0_112b20ms_2.csv: 2936/2936, 2.29 ms
exp2/qos0_112b20ms_3.csv: 2936/2936, 2.27 ms
exp2/qos0_112b40ms_1.csv: 1484/1484, 2.41 ms
exp2/qos0_112b40ms_2.csv: 1484/1484, 2.37 ms
exp2/qos0_112b40ms_3.csv: 1484/1484, 2.36 ms
exp2/qos0_112b60ms_1.csv: 993/993, 2.51 ms
exp2/qos0_112b60ms_2.csv: 993/993, 2.50 ms
exp2/qos0_112b60ms_3.csv: 993/993, 2.52 ms
exp2/qos0_112b80ms_1.csv: 746/746, 2.52 ms
exp2/qos0_112b80ms_2.csv: 746/746, 2.59 ms
exp2/qos0_112b80ms_3.csv: 746/746, 2.58 ms
exp2/qos0_112b100ms_1.csv: 598/598, 2.53 ms
exp2/qos0_112b100ms_2.csv: 598/598, 2.53 ms
exp2/qos0_112b100ms_3.csv: 598/598, 2.49 ms
exp2/qos0_112b1000ms_1.csv: 61/61, 2.52 ms
exp2/qos0_112b1000ms_2.csv: 61/61, 3.52 ms
exp2/qos0_112b1000ms_3.csv: 61/61, 3.33 ms
exp2/qos0_112b3000ms_1.csv: 21/21, 3.29 ms
exp2/qos0_112b3000ms_2.csv: 21/21, 3.00 ms
exp2/qos0_112b3000ms_3.csv: 21/21, 3.14 ms
exp2/qos0_112b5000ms_1.csv: 13/13, 2.85 ms
exp2/qos0_112b5000ms_2.csv: 13/13, 3.08 ms
exp2/qos0_112b5000ms_3.csv: 13/13, 3.00 ms

exp2/qos1_112b0ms_1.csv: 53178/53178, 1.13 ms
exp2/qos1_112b0ms_2.csv: 53154/53154, 1.12 ms
exp2/qos1_112b0ms_3.csv: 53067/53067, 1.15 ms
exp2/qos1_112b20ms_1.csv: 2954/2954, 2.61 ms
exp2/qos1_112b20ms_2.csv: 2955/2955, 2.37 ms
exp2/qos1_112b20ms_3.csv: 2956/2956, 2.33 ms
exp2/qos1_112b40ms_1.csv: 1487/1487, 2.41 ms
exp2/qos1_112b40ms_2.csv: 1487/1487, 2.43 ms
exp2/qos1_112b40ms_3.csv: 1488/1488, 2.44 ms
exp2/qos1_112b60ms_1.csv: 995/995, 2.65 ms
exp2/qos1_112b60ms_2.csv: 995/995, 2.62 ms
exp2/qos1_112b60ms_3.csv: 996/996, 2.64 ms
exp2/qos1_112b80ms_1.csv: 748/748, 2.66 ms
exp2/qos1_112b80ms_2.csv: 748/748, 2.70 ms
exp2/qos1_112b80ms_3.csv: 748/748, 2.75 ms
exp2/qos1_112b100ms_1.csv: 599/599, 2.73 ms
exp2/qos1_112b100ms_2.csv: 599/599, 2.73 ms
exp2/qos1_112b100ms_3.csv: 599/599, 2.76 ms
exp2/qos2_112b0ms_1.csv: 50171/50171, 0.87 ms
exp2/qos2_112b0ms_2.csv: 50239/50239, 0.88 ms
exp2/qos2_112b0ms_3.csv: 49761/49761, 0.89 ms
exp2/qos2_112b20ms_1.csv: 2932/2932, 2.54 ms
