id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.1,95,0,0,0,1611177281,822064,1611177281822,1611177281947,125,0
1,29.1,95,0,0,0,1611177300,367064,1611177300367,1611177300481,114,11
2,29.1,95,0,0,0,1611177318,912063,1611177318912,1611177319015,103,11
3,29,95,0,0,0,1611177337,457063,1611177337457,1611177337549,92,11
4,29,95,0,0,0,1611177356,2063,1611177356002,1611177356083,81,11
5,29,95,0,0,0,1611177374,547062,1611177374547,1611177374720,173,92
6,29,95,0,0,0,1611177393,93062,1611177393093,1611177393253,160,13
7,29,95,0,0,0,1611177411,638062,1611177411638,1611177411787,149,11
8,29,95,0,0,0,1611177430,183061,1611177430183,1611177430322,139,10
9,29,95,0,0,0,1611177448,729061,1611177448729,1611177448856,127,12
10,29,95,0,0,0,1611177467,274060,1611177467274,1611177467335,61,66
11,29,95,0,0,0,1611177485,819060,1611177485819,1611177485924,105,44
12,29,95,0,0,0,1611177504,364060,1611177504364,1611177504459,95,10
13,29,95,0,0,0,1611177522,909059,1611177522909,1611177523000,91,4
14,29,95,0,0,0,1611177541,454059,1611177541454,1611177541527,73,18
