id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.5,95,0,16.75,0,1611161557,656352,1611161557656,1611161557736,80,0
1,29.6,95,0,17.88,0,1611161576,201352,1611161576201,1611161576270,69,11
2,29.5,95,0,15.68,0,1611161594,746352,1611161594746,1611161594803,57,12
3,29.5,95,0,16.21,0,1611161613,291351,1611161613291,1611161613440,149,92
4,29.5,95,0,15.14,0,1611161631,837351,1611161631837,1611161631989,152,3
5,29.5,95,0,16.73,0,1611161650,383351,1611161650383,1611161650509,126,26
6,29.5,95,0,16.63,0,1611161668,928350,1611161668928,1611161669044,116,10
7,29.5,95,0,17.09,0,1611161687,474350,1611161687474,1611161687578,104,12
8,29.5,95,0,17.07,0,1611161706,19349,1611161706019,1611161706114,95,9
9,29.5,95,0,17.14,0,1611161724,564349,1611161724564,1611161724646,82,13
10,29.6,95,0,17.22,0,1611161743,109349,1611161743109,1611161743180,71,11
11,29.5,95,0,16.87,0,1611161761,655348,1611161761655,1611161761712,57,14
12,29.5,95,0,17.02,0,1611161780,200348,1611161780200,1611161780248,48,9
13,29.5,95,0,17.26,0,1611161798,745348,1611161798745,1611161798885,140,92
14,29.5,95,0,17.44,0,1611161817,290347,1611161817290,1611161817419,129,11
