id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.2,95,0,0,0,1611091133,118804,1611091133118,1611091133205,87,0
1,30.1,95,0,0,0,1611091147,903804,1611091147903,1611091148054,151,64
2,30.2,95,0,0,0,1611091162,687803,1611091162687,1611091162799,112,39
3,30.2,94,0,0,0,1611091177,472803,1611091177472,1611091177646,174,62
4,30.2,94,0,0,0,1611091192,257803,1611091192257,1611091192393,136,38
5,30.2,94,0,0,0,1611091207,43802,1611091207043,1611091207138,95,41
6,30.2,94,0,0,0,1611091221,828802,1611091221828,1611091221986,158,63
7,30.3,95,0,0,0,1611091236,613802,1611091236613,1611091236731,118,40
8,30.2,95,0,0,0,1611091251,398801,1611091251398,1611091251476,78,40
9,30.2,95,0,0,0,1611091266,183801,1611091266183,1611091266324,141,63
10,30.3,95,0,0,0,1611091280,968801,1611091280968,1611091281071,103,38
11,30.2,95,0,0,0,1611091295,754801,1611091295754,1611091295918,164,61
12,30.2,95,0,0,0,1611091310,538800,1611091310538,1611091310663,125,39
13,30.2,95,0,0,0,1611091325,323800,1611091325323,1611091325409,86,39
14,30.3,95,0,0,0,1611091340,108800,1611091340108,1611091340257,149,63
