id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,28.5,95,0,12.89,0,1611155117,906385,1611155117906,1611155118057,151,0
1,28.6,95,0,12.82,0,1611155132,446385,1611155132446,1611155132598,152,1
2,28.5,95,0,12.89,0,1611155146,985385,1611155146985,1611155147138,153,1
3,28.6,95,0,13.43,0,1611155161,525383,1611155161525,1611155161679,154,1
4,28.6,95,0,12.87,0,1611155176,63383,1611155176063,1611155176125,62,92
5,28.6,95,0,12.97,0,1611155190,602383,1611155190602,1611155190758,156,94
6,28.6,95,0,13.16,0,1611155205,142382,1611155205142,1611155205300,158,2
7,28.6,95,0,13.02,0,1611155219,681382,1611155219681,1611155219841,160,2
8,28.5,95,0,13.19,0,1611155234,221382,1611155234221,1611155234381,160,0
9,28.4,95,0,13.38,0,1611155248,759386,1611155248759,1611155248922,163,3
10,28.6,95,0,12.89,0,1611155263,298381,1611155263298,1611155263463,165,2
11,28.5,95,0,12.89,0,1611155277,838381,1611155277838,1611155277999,161,4
12,28.6,95,0,13.46,0,1611155292,378381,1611155292378,1611155292544,166,5
13,28.6,95,0,12.92,0,1611155306,916380,1611155306916,1611155307085,169,3
14,28.7,95,0,13.68,0,1611155321,455380,1611155321455,1611155321625,170,1
