id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.6,89,0,6.94,0,1611076607,684588,1611076607684,1611076607729,45,0
1,30.6,89,0,7.11,0,1611076619,212590,1611076619212,1611076619254,42,3
2,30.6,89,0,7.01,0,1611076630,739584,1611076630739,1611076630777,38,4
3,30.6,89,0,6.94,0,1611076642,266590,1611076642266,1611076642304,38,0
4,30.6,89,0,6.94,0,1611076653,793584,1611076653793,1611076653830,37,1
5,30.6,89,0,6.91,0,1611076665,320589,1611076665320,1611076665357,37,0
6,30.6,89,0,6.79,0,1611076676,847583,1611076676847,1611076676885,38,1
7,30.6,89,0,6.67,0,1611076688,374589,1611076688374,1611076688412,38,0
8,30.6,89,0,6.64,0,1611076699,901583,1611076699901,1611076699938,37,1
9,30.6,89,0,6.64,0,1611076711,428588,1611076711428,1611076711465,37,0
10,30.6,89,0,6.62,0,1611076722,955582,1611076722955,1611076722989,34,3
11,30.6,89,0,6.5,0,1611076734,483588,1611076734483,1611076734517,34,0
12,30.6,89,0,6.52,0,1611076746,10582,1611076746010,1611076746042,32,2
13,30.6,89,0,6.52,0,1611076757,537588,1611076757537,1611076757570,33,1
14,30.6,89,0,6.47,0,1611076769,64581,1611076769064,1611076769105,41,8
