id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,29.5,94,0,0,0,1611088637,661550,1611088637661,1611088637842,181,0
1,29.5,94,0,0,0,1611088649,442550,1611088649442,1611088649629,187,6
2,29.5,94,0,0,0,1611088661,223550,1611088661223,1611088661393,170,17
3,29.5,94,0,0,0,1611088673,4550,1611088673004,1611088673170,166,4
4,29.5,94,0,0,0,1611088684,785550,1611088684785,1611088685048,263,97
5,29.5,94,0,0,0,1611088696,565549,1611088696565,1611088696824,259,4
6,29.5,94,0,0,0,1611088708,345549,1611088708345,1611088708599,254,5
7,29.6,94,0,0,0,1611088720,126549,1611088720126,1611088720376,250,4
8,29.6,94,0,0,0,1611088731,906549,1611088731906,1611088732153,247,3
9,29.6,94,0,0,0,1611088743,686547,1611088743686,1611088743927,241,6
10,29.6,94,0,0,0,1611088755,468547,1611088755468,1611088755703,235,6
11,29.6,94,0,0,0,1611088767,249547,1611088767249,1611088767479,230,5
12,29.5,94,0,0,0,1611088779,30547,1611088779030,1611088779255,225,5
13,29.5,94,0,0,0,1611088790,811546,1611088790811,1611088791031,220,5
14,29.5,94,0,0,0,1611088802,592546,1611088802592,1611088802807,215,5
