s,us,chegada,envio,delay_ms,jitter_ms
1617986380,687000,1617986380689,1617986380687,2,0
1617986381,687000,1617986381690,1617986381687,3,1
1617986382,689000,1617986382692,1617986382689,3,0
1617986383,691000,1617986383693,1617986383691,2,1
1617986384,692000,1617986384695,1617986384692,3,1
1617986385,694000,1617986385696,1617986385694,2,1
1617986386,695000,1617986386697,1617986386695,2,0
1617986387,696000,1617986387698,1617986387696,2,0
1617986388,697000,1617986388699,1617986388697,2,0
1617986389,699000,1617986389701,1617986389699,2,0
1617986390,7000,1617986390703,1617986390700,3,1
1617986391,702000,1617986391704,1617986391702,2,1
1617986392,703000,1617986392705,1617986392703,2,0
1617986393,704000,1617986393707,1617986393704,3,1
1617986394,705000,1617986394707,1617986394705,2,1
1617986395,706000,1617986395709,1617986395706,3,1
1617986396,708000,1617986396710,1617986396708,2,1
1617986397,71000,1617986397712,1617986397710,2,0
1617986398,711000,1617986398713,1617986398711,2,0
1617986399,713000,1617986399715,1617986399713,2,0
1617986400,714000,1617986400715,1617986400714,1,1
1617986401,715000,1617986401717,1617986401715,2,1
1617986402,716000,1617986402719,1617986402716,3,1
1617986403,717000,1617986403720,1617986403717,3,0
1617986404,719000,1617986404721,1617986404719,2,1
1617986405,72000,1617986405723,1617986405720,3,1
1617986406,722000,1617986406724,1617986406722,2,1
1617986407,723000,1617986407725,1617986407723,2,0
1617986408,724000,1617986408727,1617986408724,3,1
1617986409,726000,1617986409728,1617986409726,2,1
1617986410,727000,1617986410729,1617986410727,2,0
1617986411,728000,1617986411731,1617986411728,3,1
1617986412,73000,1617986412732,1617986412730,2,1
1617986413,731000,1617986413733,1617986413731,2,0
1617986414,732000,1617986414735,1617986414732,3,1
1617986415,734000,1617986415736,1617986415734,2,1
1617986416,735000,1617986416738,1617986416735,3,1
1617986417,737000,1617986417739,1617986417737,2,1
1617986418,738000,1617986418741,1617986418738,3,1
1617986419,74000,1617986419742,1617986419740,2,1
1617986420,742000,1617986420744,1617986420742,2,0
1617986421,743000,1617986421746,1617986421743,3,1
1617986422,745000,1617986422747,1617986422745,2,1
1617986423,746000,1617986423749,1617986423746,3,1
1617986424,747000,1617986424749,1617986424747,2,1
1617986425,748000,1617986425751,1617986425748,3,1
1617986426,75000,1617986426752,1617986426750,2,1
1617986427,751000,1617986427754,1617986427751,3,1
1617986428,753000,1617986428755,1617986428753,2,1
1617986429,755000,1617986429757,1617986429755,2,0
1617986430,756000,1617986430759,1617986430756,3,1
1617986431,758000,1617986431760,1617986431758,2,1
1617986432,759000,1617986432761,1617986432759,2,0
1617986433,76000,1617986433763,1617986433760,3,1
1617986434,762000,1617986434764,1617986434762,2,1
1617986435,763000,1617986435765,1617986435763,2,0
1617986436,764000,1617986436769,1617986436764,5,3
1617986437,766000,1617986437771,1617986437766,5,0
1617986438,768000,1617986438771,1617986438768,3,2
1617986439,769000,1617986439773,1617986439769,4,1
1617986440,771000,1617986440777,1617986440771,6,2
