s,us,chegada,envio,delay_ms,jitter_ms
1617922196,907000,1617922196912,1617922196907,5,0
1617922197,908000,1617922197913,1617922197908,5,0
1617922198,91000,1617922198914,1617922198910,4,1
1617922199,911000,1617922199914,1617922199911,3,1
1617922200,913000,1617922200916,1617922200913,3,0
1617922201,913000,1617922201917,1617922201913,4,1
1617922202,915000,1617922202919,1617922202915,4,0
1617922203,916000,1617922203920,1617922203916,4,0
1617922204,918000,1617922204921,1617922204918,3,1
1617922205,919000,1617922205923,1617922205919,4,1
1617922206,92000,1617922206924,1617922206920,4,0
1617922207,922000,1617922207925,1617922207922,3,1
1617922208,922000,1617922208926,1617922208922,4,1
1617922209,923000,1617922209926,1617922209923,3,1
1617922210,925000,1617922210928,1617922210925,3,0
1617922211,925000,1617922211929,1617922211925,4,1
1617922212,927000,1617922212931,1617922212927,4,0
1617922213,928000,1617922213932,1617922213928,4,0
1617922214,93000,1617922214933,1617922214930,3,1
1617922215,93000,1617922215934,1617922215930,4,1
1617922216,931000,1617922216935,1617922216931,4,0
1617922217,933000,1617922217936,1617922217933,3,1
1617922218,933000,1617922218937,1617922218933,4,1
1617922219,935000,1617922219939,1617922219935,4,0
1617922220,936000,1617922220940,1617922220936,4,0
1617922221,938000,1617922221941,1617922221938,3,1
1617922222,938000,1617922222942,1617922222938,4,1
1617922223,939000,1617922223942,1617922223939,3,1
1617922224,941000,1617922224944,1617922224941,3,0
1617922225,941000,1617922225945,1617922225941,4,1
1617922226,942000,1617922226946,1617922226942,4,0
1617922227,943000,1617922227946,1617922227943,3,1
1617922228,945000,1617922228948,1617922228945,3,0
1617922229,945000,1617922229949,1617922229945,4,1
1617922230,947000,1617922230950,1617922230947,3,1
1617922231,948000,1617922231952,1617922231948,4,1
1617922232,949000,1617922232952,1617922232949,3,1
1617922233,951000,1617922233954,1617922233951,3,0
1617922234,952000,1617922234955,1617922234952,3,0
1617922235,953000,1617922235956,1617922235953,3,0
1617922236,955000,1617922236960,1617922236955,5,2
1617922237,957000,1617922237960,1617922237957,3,2
1617922238,958000,1617922238962,1617922238958,4,1
1617922239,959000,1617922239962,1617922239959,3,1
1617922240,961000,1617922240965,1617922240961,4,1
1617922241,962000,1617922241965,1617922241962,3,1
1617922242,961000,1617922242965,1617922242961,4,1
1617922243,962000,1617922243966,1617922243962,4,0
1617922244,963000,1617922244967,1617922244963,4,0
1617922245,964000,1617922245968,1617922245964,4,0
1617922246,966000,1617922246969,1617922246966,3,1
1617922247,967000,1617922247970,1617922247967,3,0
1617922248,969000,1617922248972,1617922248969,3,0
1617922249,969000,1617922249973,1617922249969,4,1
1617922250,971000,1617922250974,1617922250971,3,1
1617922251,972000,1617922251976,1617922251972,4,1
1617922252,973000,1617922252977,1617922252973,4,0
1617922253,974000,1617922253978,1617922253974,4,0
1617922254,975000,1617922254978,1617922254975,3,1
1617922255,977000,1617922255980,1617922255977,3,0
1617922256,977000,1617922256981,1617922256977,4,1
