s,us,chegada,envio,delay_ms,jitter_ms
1617911939,412000,1617911939414,1617911939412,2,0
1617911939,492000,1617911939495,1617911939492,3,1
1617911939,572000,1617911939575,1617911939572,3,0
1617911939,652000,1617911939655,1617911939652,3,0
1617911939,733000,1617911939735,1617911939733,2,1
1617911939,814000,1617911939817,1617911939814,3,1
1617911939,894000,1617911939898,1617911939894,4,1
1617911939,975000,1617911939977,1617911939975,2,2
1617911940,055000,1617911940057,1617911940055,2,0
1617911940,135000,1617911940138,1617911940135,3,1
1617911940,215000,1617911940218,1617911940215,3,0
1617911940,296000,1617911940298,1617911940296,2,1
1617911940,376000,1617911940378,1617911940376,2,0
1617911940,457000,1617911940460,1617911940457,3,1
1617911940,537000,1617911940540,1617911940537,3,0
1617911940,618000,1617911940620,1617911940618,2,1
1617911940,698000,1617911940701,1617911940698,3,1
1617911940,779000,1617911940781,1617911940779,2,1
1617911940,859000,1617911940861,1617911940859,2,0
1617911940,939000,1617911940942,1617911940939,3,1
1617911941,019000,1617911941022,1617911941019,3,0
1617911941,1000,1617911941102,1617911941100,2,1
1617911941,18000,1617911941182,1617911941180,2,0
1617911941,26000,1617911941263,1617911941260,3,1
1617911941,34000,1617911941343,1617911941340,3,0
1617911941,421000,1617911941423,1617911941421,2,1
1617911941,501000,1617911941504,1617911941501,3,1
1617911941,581000,1617911941584,1617911941581,3,0
1617911941,662000,1617911941664,1617911941662,2,1
1617911941,742000,1617911941745,1617911941742,3,1
1617911941,823000,1617911941825,1617911941823,2,1
1617911941,903000,1617911941906,1617911941903,3,1
1617911941,983000,1617911941986,1617911941983,3,0
1617911942,064000,1617911942066,1617911942064,2,1
1617911942,144000,1617911942147,1617911942144,3,1
1617911942,224000,1617911942227,1617911942224,3,0
1617911942,305000,1617911942307,1617911942305,2,1
1617911942,385000,1617911942388,1617911942385,3,1
1617911942,465000,1617911942468,1617911942465,3,0
1617911942,546000,1617911942549,1617911942546,3,0
1617911942,626000,1617911942629,1617911942626,3,0
1617911942,707000,1617911942710,1617911942707,3,0
1617911942,787000,1617911942790,1617911942787,3,0
1617911942,868000,1617911942870,1617911942868,2,1
1617911942,948000,1617911942951,1617911942948,3,1
1617911943,028000,1617911943031,1617911943028,3,0
1617911943,109000,1617911943111,1617911943109,2,1
1617911943,189000,1617911943192,1617911943189,3,1
1617911943,27000,1617911943272,1617911943270,2,1
1617911943,35000,1617911943353,1617911943350,3,1
1617911943,43000,1617911943434,1617911943430,4,1
1617911943,512000,1617911943514,1617911943512,2,2
1617911943,592000,1617911943595,1617911943592,3,1
1617911943,672000,1617911943676,1617911943672,4,1
1617911943,753000,1617911943755,1617911943753,2,2
1617911943,833000,1617911943836,1617911943833,3,1
1617911943,913000,1617911943916,1617911943913,3,0
1617911943,994000,1617911943996,1617911943994,2,1
1617911944,074000,1617911944077,1617911944074,3,1
1617911944,155000,1617911944157,1617911944155,2,1
1617911944,235000,1617911944238,1617911944235,3,1
1617911944,315000,1617911944318,1617911944315,3,0
1617911944,396000,1617911944398,1617911944396,2,1
1617911944,476000,1617911944479,1617911944476,3,1
1617911944,556000,1617911944559,1617911944556,3,0
1617911944,637000,1617911944639,1617911944637,2,1
1617911944,718000,1617911944721,1617911944718,3,1
1617911944,799000,1617911944801,1617911944799,2,1
1617911944,879000,1617911944882,1617911944879,3,1
1617911944,959000,1617911944962,1617911944959,3,0
1617911945,04000,1617911945041,1617911945040,1,2
1617911945,12000,1617911945122,1617911945120,2,1
1617911945,2000,1617911945203,1617911945200,3,1
1617911945,28000,1617911945283,1617911945280,3,0
1617911945,361000,1617911945363,1617911945361,2,1
1617911945,441000,1617911945443,1617911945441,2,0
1617911945,521000,1617911945524,1617911945521,3,1
1617911945,602000,1617911945604,1617911945602,2,1
1617911945,682000,1617911945685,1617911945682,3,1
1617911945,763000,1617911945765,1617911945763,2,1
1617911945,843000,1617911945846,1617911945843,3,1
1617911945,923000,1617911945926,1617911945923,3,0
1617911946,004000,1617911946006,1617911946004,2,1
1617911946,084000,1617911946086,1617911946084,2,0
1617911946,164000,1617911946167,1617911946164,3,1
