s,us,a,chegada,envio,delay_ms,jitter_ms
1616294966,289469,1234abcdefghijklmnopqrstuvwxyz,1616294966306,1616294966289,17,1
1616294966,391469,1234abcdefghijklmnopqrstuvwxyz,1616294966041,1616294966391,350,333
1616294966,493469,1234abcdefghijklmnopqrstuvwxyz,1616294966051,1616294966493,442,92
1616294966,595469,1234abcdefghijklmnopqrstuvwxyz,1616294966612,1616294966595,17,425
1616294966,697469,1234abcdefghijklmnopqrstuvwxyz,1616294966713,1616294966697,16,1
1616294966,799469,1234abcdefghijklmnopqrstuvwxyz,1616294966816,1616294966799,17,1
1616294966,901469,1234abcdefghijklmnopqrstuvwxyz,1616294966918,1616294966901,17,0
1616294967,3469,1234abcdefghijklmnopqrstuvwxyz,1616294967021,1616294967003,18,1
1616294967,105469,1234abcdefghijklmnopqrstuvwxyz,1616294967123,1616294967105,18,0
1616294967,207469,1234abcdefghijklmnopqrstuvwxyz,1616294967225,1616294967207,18,0
1616294967,309469,1234abcdefghijklmnopqrstuvwxyz,1616294967325,1616294967309,16,2
1616294967,411469,1234abcdefghijklmnopqrstuvwxyz,1616294967433,1616294967411,22,6
1616294967,513469,1234abcdefghijklmnopqrstuvwxyz,1616294967534,1616294967513,21,1
1616294967,615469,1234abcdefghijklmnopqrstuvwxyz,1616294969168,1616294967615,1553,1532
1616294967,717469,1234abcdefghijklmnopqrstuvwxyz,1616294969378,1616294967717,1661,108
1616294967,818469,1234abcdefghijklmnopqrstuvwxyz,1616294969391,1616294967818,1573,88
1616294967,918469,1234abcdefghijklmnopqrstuvwxyz,1616294969392,1616294967918,1474,99
1616294968,18469,1234abcdefghijklmnopqrstuvwxyz,1616294969392,1616294968018,1374,100
1616294968,118469,1234abcdefghijklmnopqrstuvwxyz,1616294969392,1616294968118,1274,100
1616294968,218469,1234abcdefghijklmnopqrstuvwxyz,1616294969393,1616294968218,1175,99
1616294968,318469,1234abcdefghijklmnopqrstuvwxyz,1616294969393,1616294968318,1075,100
1616294968,418469,1234abcdefghijklmnopqrstuvwxyz,1616294969393,1616294968418,975,100
1616294968,518469,1234abcdefghijklmnopqrstuvwxyz,1616294969393,1616294968518,875,100
1616294968,618469,1234abcdefghijklmnopqrstuvwxyz,1616294969394,1616294968618,776,99
1616294968,718469,1234abcdefghijklmnopqrstuvwxyz,1616294969394,1616294968718,676,100
1616294968,818469,1234abcdefghijklmnopqrstuvwxyz,1616294969395,1616294968818,577,99
1616294968,919469,1234abcdefghijklmnopqrstuvwxyz,1616294969396,1616294968919,477,100
1616294969,19469,1234abcdefghijklmnopqrstuvwxyz,1616294969396,1616294969019,377,100
1616294969,119469,1234abcdefghijklmnopqrstuvwxyz,1616294969396,1616294969119,277,100
1616294969,219469,1234abcdefghijklmnopqrstuvwxyz,1616294969397,1616294969219,178,99
1616294969,320469,1234abcdefghijklmnopqrstuvwxyz,1616294969575,1616294969320,255,77
