s,us,chegada,envio,delay_ms,jitter_ms
1617986621,001000,1617986621005,1617986621001,4,0
1617986624,003000,1617986624006,1617986624003,3,1
1617986627,006000,1617986627010,1617986627006,4,1
1617986630,01000,1617986630013,1617986630010,3,1
1617986633,012000,1617986633015,1617986633012,3,0
1617986636,016000,1617986636019,1617986636016,3,0
1617986639,019000,1617986639022,1617986639019,3,0
1617986642,022000,1617986642025,1617986642022,3,0
1617986645,025000,1617986645029,1617986645025,4,1
1617986648,027000,1617986648031,1617986648027,4,0
1617986651,03000,1617986651034,1617986651030,4,0
1617986654,034000,1617986654037,1617986654034,3,1
1617986657,037000,1617986657040,1617986657037,3,0
1617986660,041000,1617986660044,1617986660041,3,0
1617986663,043000,1617986663046,1617986663043,3,0
1617986666,046000,1617986666051,1617986666046,5,2
1617986669,05000,1617986669054,1617986669050,4,1
1617986672,051000,1617986672054,1617986672051,3,1
1617986675,054000,1617986675058,1617986675054,4,1
1617986678,056000,1617986678060,1617986678056,4,0
1617986681,059000,1617986681061,1617986681059,2,2
