s,us,chegada,envio,delay_ms,jitter_ms
1618005035,67000,1618005035672,1618005035670,2,0
1618005040,674000,1618005040676,1618005040674,2,0
1618005045,678000,1618005045680,1618005045678,2,0
1618005050,682000,1618005050684,1618005050682,2,0
1618005055,686000,1618005055689,1618005055686,3,1
1618005060,69000,1618005060693,1618005060690,3,0
1618005065,694000,1618005065696,1618005065694,2,1
1618005070,698000,1618005070699,1618005070698,1,1
1618005075,702000,1618005075703,1618005075702,1,0
1618005080,706000,1618005080707,1618005080706,1,0
1618005085,711000,1618005085714,1618005085711,3,2
1618005090,714000,1618005090716,1618005090714,2,1
1618005095,718000,1618005095720,1618005095718,2,0
