s,us,chegada,envio,delay_ms,jitter_ms
1617919548,112000,1617919548116,1617919548112,4,0
1617919553,115000,1617919553118,1617919553115,3,1
1617919558,121000,1617919558124,1617919558121,3,0
1617919563,125000,1617919563128,1617919563125,3,0
1617919568,131000,1617919568134,1617919568131,3,0
1617919573,135000,1617919573138,1617919573135,3,0
1617919578,139000,1617919578141,1617919578139,2,1
1617919583,145000,1617919583150,1617919583145,5,3
1617919588,147000,1617919588150,1617919588147,3,2
1617919593,151000,1617919593154,1617919593151,3,0
1617919598,155000,1617919598158,1617919598155,3,0
1617919603,161000,1617919603164,1617919603161,3,0
1617919608,162000,1617919608171,1617919608162,9,6
