s,us,chegada,envio,delay_ms,jitter_ms
1617921796,687000,1617921796690,1617921796687,3,0
1617921801,693000,1617921801696,1617921801693,3,0
1617921806,694000,1617921806697,1617921806694,3,0
1617921811,699000,1617921811702,1617921811699,3,0
1617921816,703000,1617921816706,1617921816703,3,0
1617921821,709000,1617921821711,1617921821709,2,1
1617921826,714000,1617921826717,1617921826714,3,1
1617921831,72000,1617921831722,1617921831720,2,1
1617921836,723000,1617921836726,1617921836723,3,1
1617921841,729000,1617921841732,1617921841729,3,0
1617921846,731000,1617921846735,1617921846731,4,1
1617921851,735000,1617921851738,1617921851735,3,1
1617921856,739000,1617921856742,1617921856739,3,0
