s,us,chegada,envio,delay_ms,jitter_ms
1617919307,902000,1617919307906,1617919307902,4,0
1617919310,903000,1617919310906,1617919310903,3,1
1617919313,907000,1617919313910,1617919313907,3,0
1617919316,907000,1617919316910,1617919316907,3,0
1617919319,911000,1617919319914,1617919319911,3,0
1617919322,914000,1617919322918,1617919322914,4,1
1617919325,917000,1617919325920,1617919325917,3,1
1617919328,919000,1617919328922,1617919328919,3,0
1617919331,923000,1617919331926,1617919331923,3,0
1617919334,927000,1617919334930,1617919334927,3,0
1617919337,931000,1617919337934,1617919337931,3,0
1617919340,934000,1617919340938,1617919340934,4,1
1617919343,937000,1617919343940,1617919343937,3,1
1617919346,941000,1617919346944,1617919346941,3,0
1617919349,943000,1617919349946,1617919349943,3,0
1617919352,947000,1617919352950,1617919352947,3,0
1617919355,95000,1617919355954,1617919355950,4,1
1617919358,951000,1617919358956,1617919358951,5,1
1617919361,955000,1617919361958,1617919361955,3,2
1617919364,958000,1617919364962,1617919364958,4,1
1617919367,959000,1617919367963,1617919367959,4,0
