s,us,chegada,envio,delay_ms,jitter_ms
1617902504,398000,1617902504400,1617902504398,2,0
1617902504,478000,1617902504481,1617902504478,3,1
1617902504,559000,1617902504562,1617902504559,3,0
1617902504,639000,1617902504642,1617902504639,3,0
1617902504,72000,1617902504722,1617902504720,2,1
1617902504,8000,1617902504802,1617902504800,2,0
1617902504,881000,1617902504884,1617902504881,3,1
1617902504,961000,1617902504964,1617902504961,3,0
1617902505,042000,1617902505044,1617902505042,2,1
1617902505,122000,1617902505125,1617902505122,3,1
1617902505,203000,1617902505205,1617902505203,2,1
1617902505,283000,1617902505285,1617902505283,2,0
1617902505,363000,1617902505366,1617902505363,3,1
1617902505,444000,1617902505446,1617902505444,2,1
1617902505,524000,1617902505526,1617902505524,2,0
1617902505,605000,1617902505608,1617902505605,3,1
1617902505,686000,1617902505688,1617902505686,2,1
1617902505,766000,1617902505769,1617902505766,3,1
1617902505,846000,1617902505849,1617902505846,3,0
1617902505,927000,1617902505929,1617902505927,2,1
1617902506,008000,1617902506010,1617902506008,2,0
1617902506,088000,1617902506091,1617902506088,3,1
1617902506,169000,1617902506171,1617902506169,2,1
1617902506,249000,1617902506252,1617902506249,3,1
1617902506,329000,1617902506332,1617902506329,3,0
1617902506,41000,1617902506412,1617902506410,2,1
1617902506,491000,1617902506494,1617902506491,3,1
1617902506,571000,1617902506574,1617902506571,3,0
1617902506,652000,1617902506654,1617902506652,2,1
1617902506,732000,1617902506734,1617902506732,2,0
1617902506,813000,1617902506816,1617902506813,3,1
1617902506,893000,1617902506896,1617902506893,3,0
1617902506,974000,1617902506976,1617902506974,2,1
1617902507,054000,1617902507057,1617902507054,3,1
1617902507,135000,1617902507137,1617902507135,2,1
1617902507,215000,1617902507218,1617902507215,3,1
1617902507,295000,1617902507298,1617902507295,3,0
1617902507,376000,1617902507378,1617902507376,2,1
1617902507,456000,1617902507459,1617902507456,3,1
1617902507,536000,1617902507539,1617902507536,3,0
1617902507,617000,1617902507619,1617902507617,2,1
1617902507,697000,1617902507699,1617902507697,2,0
1617902507,777000,1617902507780,1617902507777,3,1
1617902507,858000,1617902507860,1617902507858,2,1
1617902507,938000,1617902507941,1617902507938,3,1
1617902508,018000,1617902508021,1617902508018,3,0
1617902508,099000,1617902508101,1617902508099,2,1
1617902508,179000,1617902508182,1617902508179,3,1
1617902508,259000,1617902508262,1617902508259,3,0
1617902508,34000,1617902508342,1617902508340,2,1
1617902508,42000,1617902508423,1617902508420,3,1
1617902508,5000,1617902508503,1617902508500,3,0
1617902508,581000,1617902508584,1617902508581,3,0
1617902508,661000,1617902508664,1617902508661,3,0
1617902508,742000,1617902508744,1617902508742,2,1
1617902508,822000,1617902508825,1617902508822,3,1
1617902508,903000,1617902508905,1617902508903,2,1
1617902508,983000,1617902508986,1617902508983,3,1
1617902509,063000,1617902509066,1617902509063,3,0
1617902509,144000,1617902509146,1617902509144,2,1
1617902509,224000,1617902509227,1617902509224,3,1
1617902509,305000,1617902509307,1617902509305,2,1
1617902509,385000,1617902509388,1617902509385,3,1
1617902509,466000,1617902509468,1617902509466,2,1
1617902509,546000,1617902509549,1617902509546,3,1
1617902509,626000,1617902509630,1617902509626,4,1
1617902509,708000,1617902509710,1617902509708,2,2
1617902509,788000,1617902509791,1617902509788,3,1
1617902509,868000,1617902509872,1617902509868,4,1
1617902509,949000,1617902509952,1617902509949,3,1
1617902510,029000,1617902510032,1617902510029,3,0
1617902510,109000,1617902510112,1617902510109,3,0
1617902510,19000,1617902510193,1617902510190,3,0
1617902510,27000,1617902510273,1617902510270,3,0
1617902510,351000,1617902510353,1617902510351,2,1
1617902510,431000,1617902510434,1617902510431,3,1
1617902510,511000,1617902510514,1617902510511,3,0
1617902510,592000,1617902510594,1617902510592,2,1
1617902510,672000,1617902510674,1617902510672,2,0
1617902510,752000,1617902510755,1617902510752,3,1
1617902510,832000,1617902510835,1617902510832,3,0
1617902510,912000,1617902510915,1617902510912,3,0
1617902510,993000,1617902510995,1617902510993,2,1
1617902511,073000,1617902511076,1617902511073,3,1
1617902511,153000,1617902511156,1617902511153,3,0
1617902511,234000,1617902511237,1617902511234,3,0
1617902511,314000,1617902511317,1617902511314,3,0
1617902511,395000,1617902511397,1617902511395,2,1
1617902511,475000,1617902511478,1617902511475,3,1
1617902511,555000,1617902511558,1617902511555,3,0
1617902511,636000,1617902511638,1617902511636,2,1
1617902511,716000,1617902511719,1617902511716,3,1
1617902511,797000,1617902511801,1617902511797,4,1
1617902511,877000,1617902511880,1617902511877,3,1
1617902511,957000,1617902511960,1617902511957,3,0
1617902512,038000,1617902512040,1617902512038,2,1
1617902512,118000,1617902512121,1617902512118,3,1
1617902512,198000,1617902512201,1617902512198,3,0
1617902512,279000,1617902512281,1617902512279,2,1
1617902512,359000,1617902512362,1617902512359,3,1
1617902512,439000,1617902512442,1617902512439,3,0
1617902512,52000,1617902512522,1617902512520,2,1
1617902512,6000,1617902512602,1617902512600,2,0
1617902512,68000,1617902512683,1617902512680,3,1
1617902512,76000,1617902512763,1617902512760,3,0
1617902512,841000,1617902512842,1617902512841,1,2
1617902512,921000,1617902512923,1617902512921,2,1
1617902513,001000,1617902513004,1617902513001,3,1
1617902513,082000,1617902513084,1617902513082,2,1
1617902513,162000,1617902513165,1617902513162,3,1
1617902513,243000,1617902513245,1617902513243,2,1
1617902513,323000,1617902513326,1617902513323,3,1
1617902513,403000,1617902513406,1617902513403,3,0
1617902513,484000,1617902513487,1617902513484,3,0
1617902513,564000,1617902513567,1617902513564,3,0
1617902513,645000,1617902513647,1617902513645,2,1
1617902513,725000,1617902513729,1617902513725,4,2
1617902513,806000,1617902513808,1617902513806,2,2
1617902513,886000,1617902513889,1617902513886,3,1
1617902513,966000,1617902513969,1617902513966,3,0
1617902514,047000,1617902514050,1617902514047,3,0
1617902514,127000,1617902514130,1617902514127,3,0
1617902514,207000,1617902514210,1617902514207,3,0
1617902514,288000,1617902514290,1617902514288,2,1
1617902514,368000,1617902514371,1617902514368,3,1
1617902514,449000,1617902514451,1617902514449,2,1
1617902514,529000,1617902514532,1617902514529,3,1
1617902514,609000,1617902514612,1617902514609,3,0
1617902514,69000,1617902514692,1617902514690,2,1
1617902514,77000,1617902514773,1617902514770,3,1
1617902514,851000,1617902514853,1617902514851,2,1
1617902514,931000,1617902514934,1617902514931,3,1
1617902515,011000,1617902515014,1617902515011,3,0
1617902515,092000,1617902515094,1617902515092,2,1
1617902515,172000,1617902515175,1617902515172,3,1
1617902515,253000,1617902515255,1617902515253,2,1
1617902515,333000,1617902515336,1617902515333,3,1
1617902515,414000,1617902515416,1617902515414,2,1
1617902515,494000,1617902515497,1617902515494,3,1
1617902515,574000,1617902515577,1617902515574,3,0
1617902515,655000,1617902515659,1617902515655,4,1
1617902515,736000,1617902515738,1617902515736,2,2
1617902515,816000,1617902515819,1617902515816,3,1
1617902515,896000,1617902515899,1617902515896,3,0
1617902515,977000,1617902515980,1617902515977,3,0
1617902516,057000,1617902516060,1617902516057,3,0
1617902516,138000,1617902516140,1617902516138,2,1
