s,us,chegada,envio,delay_ms,jitter_ms
1617907393,386000,1617907393388,1617907393386,2,0
1617907393,486000,1617907393489,1617907393486,3,1
1617907393,586000,1617907393589,1617907393586,3,0
1617907393,687000,1617907393690,1617907393687,3,0
1617907393,787000,1617907393791,1617907393787,4,1
1617907393,888000,1617907393891,1617907393888,3,1
1617907393,988000,1617907393991,1617907393988,3,0
1617907394,089000,1617907394092,1617907394089,3,0
1617907394,189000,1617907394192,1617907394189,3,0
1617907394,29000,1617907394293,1617907394290,3,0
1617907394,39000,1617907394393,1617907394390,3,0
1617907394,491000,1617907394493,1617907394491,2,1
1617907394,591000,1617907394594,1617907394591,3,1
1617907394,691000,1617907394694,1617907394691,3,0
1617907394,792000,1617907394795,1617907394792,3,0
1617907394,893000,1617907394896,1617907394893,3,0
1617907394,994000,1617907394996,1617907394994,2,1
1617907395,094000,1617907395097,1617907395094,3,1
1617907395,194000,1617907395197,1617907395194,3,0
1617907395,295000,1617907395298,1617907395295,3,0
1617907395,396000,1617907395399,1617907395396,3,0
1617907395,496000,1617907395499,1617907395496,3,0
1617907395,597000,1617907395600,1617907395597,3,0
1617907395,697000,1617907395700,1617907395697,3,0
1617907395,798000,1617907395800,1617907395798,2,1
1617907395,899000,1617907395902,1617907395899,3,1
1617907395,999000,1617907396002,1617907395999,3,0
1617907396,1000,1617907396103,1617907396100,3,0
1617907396,2000,1617907396204,1617907396200,4,1
1617907396,301000,1617907396303,1617907396301,2,2
1617907396,401000,1617907396405,1617907396401,4,2
1617907396,502000,1617907396504,1617907396502,2,2
1617907396,602000,1617907396605,1617907396602,3,1
1617907396,703000,1617907396706,1617907396703,3,0
1617907396,802000,1617907396805,1617907396802,3,0
1617907396,903000,1617907396905,1617907396903,2,1
1617907397,003000,1617907397005,1617907397003,2,0
1617907397,103000,1617907397106,1617907397103,3,1
1617907397,204000,1617907397206,1617907397204,2,1
1617907397,304000,1617907397307,1617907397304,3,1
1617907397,404000,1617907397407,1617907397404,3,0
1617907397,505000,1617907397508,1617907397505,3,0
1617907397,605000,1617907397608,1617907397605,3,0
1617907397,706000,1617907397708,1617907397706,2,1
1617907397,806000,1617907397809,1617907397806,3,1
1617907397,907000,1617907397910,1617907397907,3,0
1617907398,007000,1617907398010,1617907398007,3,0
1617907398,108000,1617907398110,1617907398108,2,1
1617907398,208000,1617907398211,1617907398208,3,1
1617907398,309000,1617907398311,1617907398309,2,1
1617907398,409000,1617907398412,1617907398409,3,1
1617907398,51000,1617907398512,1617907398510,2,1
