s,us,chegada,envio,delay_ms,jitter_ms
1617921636,535000,1617921636538,1617921636535,3,0
1617921641,541000,1617921641544,1617921641541,3,0
1617921646,546000,1617921646550,1617921646546,4,1
1617921651,551000,1617921651554,1617921651551,3,1
1617921656,557000,1617921656560,1617921656557,3,0
1617921661,562000,1617921661565,1617921661562,3,0
1617921666,567000,1617921666570,1617921666567,3,0
1617921671,569000,1617921671572,1617921671569,3,0
1617921676,571000,1617921676574,1617921676571,3,0
1617921681,575000,1617921681578,1617921681575,3,0
1617921686,579000,1617921686582,1617921686579,3,0
1617921691,583000,1617921691586,1617921691583,3,0
1617921696,587000,1617921696590,1617921696587,3,0
