s,us,chegada,envio,delay_ms,jitter_ms
1617916030,836000,1617916030840,1617916030836,4,0
1617916031,838000,1617916031841,1617916031838,3,1
1617916032,838000,1617916032842,1617916032838,4,1
1617916033,84000,1617916033846,1617916033840,6,2
1617916034,842000,1617916034845,1617916034842,3,3
1617916035,842000,1617916035846,1617916035842,4,1
1617916036,843000,1617916036847,1617916036843,4,0
1617916037,845000,1617916037848,1617916037845,3,1
1617916038,847000,1617916038850,1617916038847,3,0
1617916039,847000,1617916039850,1617916039847,3,0
1617916040,849000,1617916040852,1617916040849,3,0
1617916041,849000,1617916041853,1617916041849,4,1
1617916042,85000,1617916042853,1617916042850,3,1
1617916043,852000,1617916043855,1617916043852,3,0
1617916044,852000,1617916044856,1617916044852,4,1
1617916045,854000,1617916045858,1617916045854,4,0
1617916046,855000,1617916046859,1617916046855,4,0
1617916047,857000,1617916047859,1617916047857,2,2
1617916048,859000,1617916048862,1617916048859,3,1
1617916049,859000,1617916049863,1617916049859,4,1
1617916050,859000,1617916050862,1617916050859,3,1
1617916051,861000,1617916051864,1617916051861,3,0
1617916052,862000,1617916052865,1617916052862,3,0
1617916053,862000,1617916053867,1617916053862,5,2
1617916054,864000,1617916054868,1617916054864,4,1
1617916055,866000,1617916055869,1617916055866,3,1
1617916056,868000,1617916056871,1617916056868,3,0
1617916057,869000,1617916057872,1617916057869,3,0
1617916058,869000,1617916058873,1617916058869,4,1
1617916059,871000,1617916059874,1617916059871,3,1
1617916060,873000,1617916060876,1617916060873,3,0
1617916061,875000,1617916061878,1617916061875,3,0
1617916062,875000,1617916062879,1617916062875,4,1
1617916063,877000,1617916063881,1617916063877,4,0
1617916064,879000,1617916064881,1617916064879,2,2
1617916065,879000,1617916065883,1617916065879,4,2
1617916066,881000,1617916066884,1617916066881,3,1
1617916067,881000,1617916067885,1617916067881,4,1
1617916068,883000,1617916068887,1617916068883,4,0
1617916069,885000,1617916069888,1617916069885,3,1
1617916070,885000,1617916070889,1617916070885,4,1
1617916071,887000,1617916071891,1617916071887,4,0
1617916072,889000,1617916072893,1617916072889,4,0
1617916073,89000,1617916073893,1617916073890,3,1
1617916074,891000,1617916074895,1617916074891,4,1
1617916075,892000,1617916075895,1617916075892,3,1
1617916076,894000,1617916076897,1617916076894,3,0
1617916077,896000,1617916077899,1617916077896,3,0
1617916078,896000,1617916078900,1617916078896,4,1
1617916079,898000,1617916079902,1617916079898,4,0
1617916080,899000,1617916080902,1617916080899,3,1
1617916081,901000,1617916081904,1617916081901,3,0
1617916082,901000,1617916082905,1617916082901,4,1
1617916083,902000,1617916083905,1617916083902,3,1
1617916084,904000,1617916084907,1617916084904,3,0
1617916085,904000,1617916085908,1617916085904,4,1
1617916086,906000,1617916086910,1617916086906,4,0
1617916087,907000,1617916087910,1617916087907,3,1
1617916088,909000,1617916088912,1617916088909,3,0
1617916089,91000,1617916089914,1617916089910,4,1
1617916090,911000,1617916090915,1617916090911,4,0
