s,us,chegada,envio,delay_ms,jitter_ms
1617923478,027000,1617923478030,1617923478027,3,0
1617923481,031000,1617923481034,1617923481031,3,0
1617923484,031000,1617923484034,1617923484031,3,0
1617923487,035000,1617923487038,1617923487035,3,0
1617923490,036000,1617923490039,1617923490036,3,0
1617923493,04000,1617923493043,1617923493040,3,0
1617923496,044000,1617923496047,1617923496044,3,0
1617923499,046000,1617923499050,1617923499046,4,1
1617923502,047000,1617923502050,1617923502047,3,1
1617923505,048000,1617923505051,1617923505048,3,0
1617923508,049000,1617923508052,1617923508049,3,0
1617923511,053000,1617923511056,1617923511053,3,0
1617923514,055000,1617923514059,1617923514055,4,1
1617923517,059000,1617923517062,1617923517059,3,1
1617923520,062000,1617923520066,1617923520062,4,1
1617923523,063000,1617923523066,1617923523063,3,1
1617923526,067000,1617923526070,1617923526067,3,0
1617923529,069000,1617923529072,1617923529069,3,0
1617923532,071000,1617923532074,1617923532071,3,0
1617923535,075000,1617923535078,1617923535075,3,0
1617923538,075000,1617923538079,1617923538075,4,1
